<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GDAX.BTC-USD,D,20180604,000000,7487.3700000
GDAX.BTC-USD,D,20180605,000000,7612.5100000
GDAX.BTC-USD,D,20180606,000000,7655.0000000
GDAX.BTC-USD,D,20180607,000000,7684.9300000
GDAX.BTC-USD,D,20180608,000000,7618.8000000
GDAX.BTC-USD,D,20180609,000000,7496.4000000
GDAX.BTC-USD,D,20180610,000000,6770.3100000
GDAX.BTC-USD,D,20180611,000000,6881.0000000
GDAX.BTC-USD,D,20180612,000000,6545.0000000
GDAX.BTC-USD,D,20180613,000000,6302.3100000
GDAX.BTC-USD,D,20180614,000000,6638.4900000
GDAX.BTC-USD,D,20180615,000000,6391.2200000
GDAX.BTC-USD,D,20180616,000000,6484.2900000
GDAX.BTC-USD,D,20180617,000000,6447.1600000
GDAX.BTC-USD,D,20180618,000000,6709.0200000
GDAX.BTC-USD,D,20180619,000000,6736.4100000
GDAX.BTC-USD,D,20180620,000000,6759.1800000
GDAX.BTC-USD,D,20180621,000000,6719.0100000
GDAX.BTC-USD,D,20180622,000000,6059.8200000
GDAX.BTC-USD,D,20180623,000000,6178.2900000
GDAX.BTC-USD,D,20180624,000000,6149.9900000
GDAX.BTC-USD,D,20180625,000000,6246.0100000
GDAX.BTC-USD,D,20180626,000000,6074.0000000
GDAX.BTC-USD,D,20180627,000000,6132.1700000
GDAX.BTC-USD,D,20180628,000000,5851.6600000
GDAX.BTC-USD,D,20180629,000000,6202.3600000
GDAX.BTC-USD,D,20180630,000000,6383.1900000
GDAX.BTC-USD,D,20180701,000000,6349.5000000
GDAX.BTC-USD,D,20180702,000000,6611.7900000
GDAX.BTC-USD,D,20180703,000000,6502.6200000
GDAX.BTC-USD,D,20180704,000000,6587.4700000
GDAX.BTC-USD,D,20180705,000000,6532.9500000
GDAX.BTC-USD,D,20180706,000000,6600.0000000
GDAX.BTC-USD,D,20180707,000000,6753.2800000
GDAX.BTC-USD,D,20180708,000000,6701.9700000
GDAX.BTC-USD,D,20180709,000000,6664.0100000
GDAX.BTC-USD,D,20180710,000000,6303.7000000
GDAX.BTC-USD,D,20180711,000000,6390.0400000
GDAX.BTC-USD,D,20180712,000000,6249.7500000
GDAX.BTC-USD,D,20180713,000000,6216.2900000
GDAX.BTC-USD,D,20180714,000000,6248.6500000
GDAX.BTC-USD,D,20180715,000000,6348.7300000
GDAX.BTC-USD,D,20180716,000000,6728.8100000
GDAX.BTC-USD,D,20180717,000000,7315.0100000
GDAX.BTC-USD,D,20180718,000000,7378.9900000
GDAX.BTC-USD,D,20180719,000000,7470.0100000
GDAX.BTC-USD,D,20180720,000000,7334.4600000
GDAX.BTC-USD,D,20180721,000000,7408.0000000
GDAX.BTC-USD,D,20180722,000000,7397.8000000
GDAX.BTC-USD,D,20180723,000000,7720.0900000
GDAX.BTC-USD,D,20180724,000000,8385.5000000
GDAX.BTC-USD,D,20180725,000000,8157.1500000
GDAX.BTC-USD,D,20180726,000000,7931.9900000
GDAX.BTC-USD,D,20180727,000000,8184.2100000
GDAX.BTC-USD,D,20180728,000000,8228.9000000
GDAX.BTC-USD,D,20180729,000000,8216.3400000
GDAX.BTC-USD,D,20180730,000000,8170.0100000
GDAX.BTC-USD,D,20180731,000000,7727.2700000
GDAX.BTC-USD,D,20180801,000000,7603.9900000
GDAX.BTC-USD,D,20180802,000000,7533.9200000
GDAX.BTC-USD,D,20180803,000000,7414.0800000
GDAX.BTC-USD,D,20180804,000000,7005.0000000
GDAX.BTC-USD,D,20180805,000000,7030.0100000
GDAX.BTC-USD,D,20180806,000000,6938.0000000
GDAX.BTC-USD,D,20180807,000000,6718.2200000
GDAX.BTC-USD,D,20180808,000000,6282.5000000
GDAX.BTC-USD,D,20180809,000000,6546.4500000
GDAX.BTC-USD,D,20180810,000000,6146.0100000
GDAX.BTC-USD,D,20180811,000000,6235.5600000
GDAX.BTC-USD,D,20180812,000000,6316.0100000
GDAX.BTC-USD,D,20180813,000000,6253.6700000
GDAX.BTC-USD,D,20180814,000000,6195.0100000
GDAX.BTC-USD,D,20180815,000000,6269.0100000
GDAX.BTC-USD,D,20180816,000000,6315.9000000
GDAX.BTC-USD,D,20180817,000000,6585.4900000
GDAX.BTC-USD,D,20180818,000000,6396.6400000
GDAX.BTC-USD,D,20180819,000000,6489.5300000
GDAX.BTC-USD,D,20180820,000000,6258.7400000
GDAX.BTC-USD,D,20180821,000000,6475.8900000
GDAX.BTC-USD,D,20180822,000000,6359.9900000
GDAX.BTC-USD,D,20180823,000000,6526.3600000
GDAX.BTC-USD,D,20180824,000000,6690.8800000
GDAX.BTC-USD,D,20180825,000000,6737.5200000
GDAX.BTC-USD,D,20180826,000000,6709.9800000
GDAX.BTC-USD,D,20180827,000000,6911.9000000
GDAX.BTC-USD,D,20180828,000000,7071.0100000
GDAX.BTC-USD,D,20180829,000000,7030.9000000
GDAX.BTC-USD,D,20180830,000000,6983.0000000
GDAX.BTC-USD,D,20180831,000000,7015.0100000
GDAX.BTC-USD,D,20180901,000000,7191.0800000
GDAX.BTC-USD,D,20180902,000000,7295.0000000
GDAX.BTC-USD,D,20180903,000000,7256.9800000
GDAX.BTC-USD,D,20180904,000000,7360.0000000
GDAX.BTC-USD,D,20180905,000000,6687.9600000
GDAX.BTC-USD,D,20180906,000000,6495.0000000
GDAX.BTC-USD,D,20180907,000000,6395.0100000
GDAX.BTC-USD,D,20180908,000000,6188.0000000
GDAX.BTC-USD,D,20180909,000000,6235.0100000
GDAX.BTC-USD,D,20180910,000000,6300.0000000
GDAX.BTC-USD,D,20180911,000000,6282.5300000
GDAX.BTC-USD,D,20180912,000000,6326.0000000
GDAX.BTC-USD,D,20180913,000000,6485.9900000
